2022-05-27T20:01:00.782Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:00.783Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681659.91222"}
2022-05-27T20:01:01.712Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:01:04.842Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T20:01:04.843Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653681664.8419142"}
2022-05-27T20:01:23.365Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T20:01:23.367Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T20:01:23.376Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T20:01:23.379Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T20:01:23.381Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 19:02:53 +0000) | 
2022-05-27T20:01:30.771Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:01:31.387Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:01:45.744Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:01:47.056Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:02:00.771Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:02:01.744Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:02:30.770Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:02:31.504Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:02:53.727Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653681659.91222","key":"LastConnectedTimeStamp"}
2022-05-27T20:02:57.368Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T20:02:57.369Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653681777.367717","key":"LastTimeForeground"}
2022-05-27T20:04:03.674Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:04:03.984Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T20:04:03.985Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T20:04:03.989Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T20:04:03.990Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T20:04:03.991Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 19:02:53 +0000) | 
2022-05-27T20:04:04.247Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnecting from: 185.159.157.191 | 
2022-05-27T20:04:04.248Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T20:04:05.066Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnected | 
2022-05-27T20:04:05.082Z | DEBUG | REVIEW | Resetting active connection timestamp because of disconnection | 
2022-05-27T20:04:08.998Z | DEBUG | CONN.CONNECT:TRIGGER | Connect requested by clicking on Server item | 
2022-05-27T20:04:09.000Z | DEBUG | CONN.CONNECT:TRIGGER | Will connect to CH-AT#1 (ch-at-01.protonvpn.net, load: 49) | 
2022-05-27T20:04:09.024Z | DEBUG | CONN.CONNECT | Server selected: CH-AT#1 (ch-at-01.protonvpn.net, load: 49) | 
2022-05-27T20:04:09.064Z | INFO  | CONN.CONNECT | Selected 185.159.157.191 as server ip for ch-at-01.protonvpn.net | 
2022-05-27T20:04:09.064Z | INFO  | CONN.CONNECT | Connecting with openVpn(vpncore.VpnProtocol.OpenVpnTransport.udp) to CH-AT#1 via 185.159.157.191:[1194, 5060, 80, 4569, 443] | 
2022-05-27T20:04:09.068Z | INFO  | CONN.CONNECT | VPN connect started | {"authenticationType":"credentials","protocol":"openVpn(vpncore.VpnProtocol.OpenVpnTransport.udp)"}
2022-05-27T20:04:09.072Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-27T20:04:09.103Z | INFO  | CONN.CONNECT | On Demand set: Off for vpncore.OpenVpnProtocolFactory | 
2022-05-27T20:04:09.114Z | INFO  | CONN.CONNECT | About to start connection process | 
2022-05-27T20:04:09.116Z | INFO  | CONN.CONNECT | Creating connection configuration | 
2022-05-27T20:04:09.120Z | INFO  | CONN.CONNECT | Configuring connection | 
2022-05-27T20:04:09.129Z | INFO  | CONN.CONNECT | Loading connection configuration | 
2022-05-27T20:04:09.132Z | INFO  | CONN.CONNECT | Starting VPN tunnel | 
2022-05-27T20:04:09.147Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connecting to: 185.159.157.191 | 
2022-05-27T20:04:11.028Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connected to: 185.159.157.191 | 
2022-05-27T20:04:11.030Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"false","key":"IntentionallyDisconnected"}
2022-05-27T20:04:11.031Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:04:11.035Z | ERROR | NET:RESPONSE | Request failed | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x28165b600 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[lte], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <C228AE15-EBD9-4FE8-A224-CA4FA204A68E>.<16>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <C228AE15-EBD9-4FE8-A224-CA4FA204A68E>.<16>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=http:\/\/protonstatus.com\/vpn_status, NSErrorFailingURLKey=http:\/\/protonstatus.com\/vpn_status, _kCFStreamErrorDomainKey=1}"}
2022-05-27T20:04:11.036Z | ERROR | UI | Error Domain=NSURLErrorDomain Code=-1009 "The Internet connection appears to be offline." UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x28165b600 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 "(null)" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[lte], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <C228AE15-EBD9-4FE8-A224-CA4FA204A68E>.<16>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <C228AE15-EBD9-4FE8-A224-CA4FA204A68E>.<16>"
), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=http://protonstatus.com/vpn_status, NSErrorFailingURLKey=http://protonstatus.com/vpn_status, _kCFStreamErrorDomainKey=1} | 
2022-05-27T20:04:11.044Z | DEBUG | REVIEW | Saving new active connection timestamp and incrementing successful connections count | 
2022-05-27T20:04:11.046Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.047Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.047Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.047Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.047Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
