2022-05-25T17:34:02.530Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x283e53d50 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (No network route), _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <45DE7DBB-10FE-484B-A2D1-29A87E18A3A4>.<13>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <45DE7DBB-10FE-484B-A2D1-29A87E18A3A4>.<13>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig, _kCFStreamErrorDomainKey=1}","url":"https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig","method":"GET"}
2022-05-25T17:34:28.940Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-25T17:34:28.941Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653500068.939671"}
2022-05-25T17:35:41.255Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/featureconfig\/dynamic-bug-reports","method":"GET"}
2022-05-25T17:35:41.418Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"ConnectOnDemand","value":"true"}
2022-05-25T17:35:41.418Z | DEBUG | APP | Data refresh timer started | {"interval":"10800.0"}
2022-05-25T17:35:41.419Z | DEBUG | APP | Server loads refresh timer started | {"interval":"900.0"}
2022-05-25T17:35:41.419Z | DEBUG | APP | Account refresh timer started | {"interval":"180.0"}
2022-05-25T17:35:41.419Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/location","method":"GET"}
2022-05-25T17:35:41.420Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-25T17:35:41.420Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/streamingservices","method":"GET"}
2022-05-25T17:35:41.421Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig","method":"GET"}
2022-05-25T17:35:41.457Z | DEBUG | CORE | Error Domain=NSURLErrorDomain Code=-1009 "The Internet connection appears to be offline." UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x282a35290 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 "(null)" UserInfo={_NSURLErrorNWPathKey=unsatisfied (No network route), _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <1B68802E-F0CC-46A1-999E-4459C4699ACB>.<2>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <1B68802E-F0CC-46A1-999E-4459C4699ACB>.<2>"
), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=https://api.protonvpn.ch/vpn/countries/count, NSErrorFailingURLKey=https://api.protonvpn.ch/vpn/countries/count, _kCFStreamErrorDomainKey=1} | 
2022-05-25T17:35:41.467Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x282a37db0 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (No network route), _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <EA87CA11-C26B-4F1E-A261-0E3C3DCE3EB9>.<3>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <EA87CA11-C26B-4F1E-A261-0E3C3DCE3EB9>.<3>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/location, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/location, _kCFStreamErrorDomainKey=1}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn\/location"}
2022-05-25T17:35:41.467Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true","method":"GET"}
