2022-05-20T00:11:36.010Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca9ad0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn"}
2022-05-20T00:19:33.855Z | ERROR | NET:RESPONSE | Request failed | {"url":"https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca8cf0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <9E7AC280-18B7-488F-85D2-B21C10AB6C2A>.<61>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <9E7AC280-18B7-488F-85D2-B21C10AB6C2A>.<61>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true, _kCFStreamErrorDomainKey=4}"}
2022-05-20T00:19:33.855Z | DEBUG | CORE | Error Domain=NSURLErrorDomain Code=-1001 "The request timed out." UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282caafa0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 "(null)" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <5E139F77-5790-4372-8979-5E35410F1E57>.<63>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <5E139F77-5790-4372-8979-5E35410F1E57>.<63>"
), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https://api.protonvpn.ch/payments/v4/status, NSErrorFailingURLKey=https://api.protonvpn.ch/payments/v4/status, _kCFStreamErrorDomainKey=4} | 
2022-05-20T00:19:33.858Z | ERROR | APP | Failed to obtain user's VPN properties | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca8cf0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <9E7AC280-18B7-488F-85D2-B21C10AB6C2A>.<61>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <9E7AC280-18B7-488F-85D2-B21C10AB6C2A>.<61>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true, _kCFStreamErrorDomainKey=4}"}
2022-05-20T00:19:33.858Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-20T00:19:33.859Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-20T00:19:33.860Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-20 08:47:53 +0000) | 
2022-05-20T00:19:33.860Z | ERROR | APP | Failed to refresh vpn credentials | {"error":"ResponseError(httpCode: nil, responseCode: nil, userFacingMessage: nil, underlyingError: Optional(Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282caafa0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <5E139F77-5790-4372-8979-5E35410F1E57>.<63>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <5E139F77-5790-4372-8979-5E35410F1E57>.<63>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/payments\/v4\/status, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/payments\/v4\/status, _kCFStreamErrorDomainKey=4}))"}
2022-05-20T00:19:34.149Z | INFO  | OS | applicationDidBecomeActive | 
