2022-05-31T18:44:55.647Z | ERROR | APP | Failed to refresh vpn credentials | {"error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x283039170 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[nr_sa_sub6], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <CDB33ED1-7146-4548-8C38-5A830A58D92C>.<10>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <CDB33ED1-7146-4548-8C38-5A830A58D92C>.<10>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate, _kCFStreamErrorDomainKey=1}"}
2022-05-31T18:45:25.899Z | INFO  | CONN.CONNECT | Connection attempt timed out | 
2022-05-31T18:45:25.899Z | INFO  | CONN.CONNECT | Stop preparing connection | 
2022-05-31T18:45:25.906Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/sessioncount","method":"GET"}
2022-05-31T18:45:25.906Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-31T18:45:25.906Z | INFO  | CONN.DISCONNECT | VPN disconnect started | 
2022-05-31T18:45:25.908Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"true"}
2022-05-31T18:45:25.909Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-31T18:45:25.917Z | DEBUG | REVIEW | Resetting successful connections count and active connection timestamp because of failure | 
2022-05-31T18:45:25.921Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x28301cdb0 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[nr_sa_sub6], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <3BE53CC6-F10B-401E-A0F4-3A5703FBF280>.<12>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <3BE53CC6-F10B-401E-A0F4-3A5703FBF280>.<12>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=1}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn"}
