2022-05-27T21:53:00.339Z | DEBUG | CONN.CONNECT | Server selected: CH-IE#1 (ch-ie-01.protonvpn.net, load: 47) | 
2022-05-27T21:53:00.383Z | INFO  | CONN.CONNECT | Selected 185.159.157.89 as server ip for ch-ie-01.protonvpn.net | 
2022-05-27T21:53:00.383Z | DEBUG | CONN.CONNECT:SCAN | IKEv2 will be used for Smart Protocol checks | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN will be used for Smart Protocol checks | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Wireguard will be used for Smart Protocol checks | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Determining best protocol for 185.159.157.89 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN TCP availability for 185.159.157.89 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking IKEv2 availability for 185.159.157.89 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking Wireguard availability for 185.159.157.89 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN TCP availability for 185.159.157.89 on port 443 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking IKEv2 availability for 185.159.157.89 on port 500 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking Wireguard availability for 185.159.157.89 on port 51820 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 on port 80 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking Wireguard availability for 185.159.157.89 on port 88 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 on port 443 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking Wireguard availability for 185.159.157.89 on port 1224 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 on port 4569 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking Wireguard availability for 185.159.157.89 on port 49152 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 on port 1194 | 
2022-05-27T21:53:00.384Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN UDP availability for 185.159.157.89 on port 5060 | 
2022-05-27T21:53:00.386Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN TCP availability for 185.159.157.89 on port 5995 | 
2022-05-27T21:53:00.386Z | DEBUG | CONN.CONNECT:SCAN | Checking OpenVPN TCP availability for 185.159.157.89 on port 8443 | 
2022-05-27T21:53:00.706Z | DEBUG | CONN.CONNECT:SCAN | IKEv2 available for 185.159.157.89 on port 500 | 
2022-05-27T21:53:00.706Z | DEBUG | CONN.CONNECT:SCAN | Wireguard available for 185.159.157.89 on port 1224 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN UDP available for 185.159.157.89 on port 443 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN UDP available for 185.159.157.89 on port 4569 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN UDP available for 185.159.157.89 on port 5060 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | Wireguard available for 185.159.157.89 on port 88 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | Wireguard available for 185.159.157.89 on port 49152 | 
2022-05-27T21:53:00.707Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN UDP available for 185.159.157.89 on port 80 | 
2022-05-27T21:53:00.708Z | DEBUG | CONN.CONNECT:SCAN | Wireguard available for 185.159.157.89 on port 51820 | 
2022-05-27T21:53:00.708Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN UDP available for 185.159.157.89 on port 1194 | 
2022-05-27T21:53:01.026Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN TCP available for 185.159.157.89 on port 8443 | 
2022-05-27T21:53:01.026Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN TCP available for 185.159.157.89 on port 5995 | 
2022-05-27T21:53:01.026Z | DEBUG | CONN.CONNECT:SCAN | OpenVPN TCP available for 185.159.157.89 on port 443 | 
2022-05-27T21:53:01.027Z | DEBUG | CONN.CONNECT:SCAN | Best protocol for 185.159.157.89 is wireGuard with ports [1224, 88, 49152, 51820] | 
2022-05-27T21:53:01.027Z | INFO  | CONN.CONNECT | Connecting with wireGuard to CH-IE#1 via 185.159.157.89:[1224, 88, 49152, 51820] | 
2022-05-27T21:53:01.027Z | INFO  | CONN.CONNECT | Checking vpn auth keys and certificates | 
2022-05-27T21:53:01.043Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T21:53:01.045Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T21:53:01.048Z | DEBUG | USER_CERT | Stored certificate has different set of features. New certificate is needed. | {"new":"Optional(vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: true, bouncing: Optional(\"0\"), natType: vpncore.NATType.strictNAT, safeMode: nil))","current":"Optional(vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: false, bouncing: Optional(\"0\"), natType: vpncore.NATType.strictNAT, safeMode: Optional(false)))"}
2022-05-27T21:53:01.048Z | DEBUG | USER_CERT:NEW_CERT | Asking backend API for new vpn authentication certificate | 
2022-05-27T21:53:01.048Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate","method":"POST"}
2022-05-27T21:53:01.705Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate","method":"POST"}
2022-05-27T21:53:01.705Z | DEBUG | USER_CERT:NEW_CERT | Got new vpn authentication certificate valid until 2022-05-28 21:53:01 +0000 | 
2022-05-27T21:53:01.718Z | DEBUG | USER_CERT | Cert with features saved: Optional(vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: true, bouncing: Optional("0"), natType: vpncore.NATType.strictNAT, safeMode: nil)) | 
2022-05-27T21:53:01.718Z | INFO  | CONN.CONNECT | VPN connect started | {"authenticationType":"certificate","protocol":"wireGuard"}
2022-05-27T21:53:01.726Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-27T21:53:01.727Z | INFO  | CONN.CONNECT | On Demand set: Off for vpncore.IkeProtocolFactory | 
2022-05-27T21:53:04.234Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T21:53:04.236Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688384.233832","key":"LastTimeForeground"}
